iter	Logloss
264	0.5404906777
265	0.5404225005
266	0.5402880768
267	0.5400503347
268	0.5399355574
269	0.5396487418
270	0.5395157263
271	0.5394567764
272	0.5392587116
273	0.5389961903
274	0.5387893556
275	0.5383034843
276	0.5380248742
277	0.5378537188
278	0.5376479101
279	0.5374359709
280	0.5372479254
281	0.5370738004
282	0.5367821855
283	0.5367225561
284	0.5365473863
285	0.5363739129
286	0.5362170116
287	0.5361144589
288	0.5359211782
289	0.5356592217
290	0.5353990561
291	0.5352398098
292	0.5350909763
293	0.5349475677
294	0.5345951868
295	0.5344337952
296	0.5342442257
297	0.5340210297
298	0.5339293767
299	0.5338244559
300	0.5336081453
301	0.5334517296
302	0.5333570008
303	0.5332634189
304	0.5331149003
305	0.5328470602
306	0.5325970641
307	0.5323328362
308	0.5321943538
309	0.5319933019
310	0.5318028269
311	0.531628083
312	0.531474317
313	0.531428131
314	0.5313039289
315	0.5311742844
316	0.5309995129
317	0.5308713657
318	0.5306485811
319	0.530435356
320	0.5301837791
321	0.5300010251
322	0.5296017201
323	0.5293776971
324	0.5291913912
325	0.5289547245
326	0.5286691927
327	0.5285836011
328	0.5283558396
329	0.5282045207
330	0.527945076
331	0.5277288455
332	0.5275891611
333	0.5273554043
334	0.5271892068
335	0.5270789137
336	0.5268648791
337	0.5267672558
338	0.5265044749
339	0.5262668447
