iter	Logloss
0	0.6906402416
1	0.6881782831
2	0.6870922159
3	0.6850774881
4	0.683122034
5	0.6805787488
6	0.6784931831
7	0.6772718129
8	0.6751060347
9	0.6724857142
10	0.6714448748
11	0.6699202642
12	0.668332933
13	0.6666851983
14	0.6651076831
15	0.663615822
16	0.661785001
17	0.6600724872
18	0.657994672
19	0.6562025704
20	0.6544878288
21	0.6529446229
22	0.6513531575
23	0.6498307886
24	0.6485072023
25	0.6471304616
26	0.6456190509
27	0.644308934
28	0.6430324988
29	0.6414062085
30	0.6401602541
31	0.6385613156
32	0.6373405853
33	0.6357566257
34	0.6344389785
35	0.6333187725
36	0.6323906082
37	0.6309888287
38	0.6301499031
39	0.6289662889
40	0.6279103128
41	0.6264641356
42	0.6254538476
43	0.6245678289
44	0.623690721
45	0.6232152679
46	0.6225353142
47	0.6215034936
48	0.6209581611
49	0.6198434757
50	0.6189807032
51	0.6182752694
52	0.6174869011
53	0.6165352684
54	0.6153850432
55	0.6143011336
56	0.6130340481
57	0.6127409875
58	0.6122228197
59	0.6116096923
60	0.6109276723
61	0.6100723024
62	0.6093212146
63	0.608462506
64	0.6080792181
65	0.6071688315
66	0.6063055238
67	0.6056137861
68	0.6045661045
69	0.6041744876
70	0.6038715607
71	0.6029803422
72	0.6024111142
73	0.6016995278
74	0.6013876753
75	0.6007774554
76	0.5997343994
77	0.5991203632
78	0.5985956877
79	0.5980080949
80	0.597208969
81	0.5965021811
82	0.5959939682
83	0.5951847996
84	0.5948446303
85	0.5941697098
86	0.5934092273
87	0.5930096582
88	0.5924797019
89	0.5918594937
90	0.591407806
91	0.5909189672
92	0.5905117579
93	0.5900079496
94	0.5889896222
95	0.588357319
96	0.5878464937
97	0.587217311
98	0.5868015054
99	0.5861712947
100	0.5852761427
101	0.584695281
102	0.584433308
103	0.5839216761
104	0.5834483644
105	0.583082429
106	0.5825993903
107	0.5821500991
108	0.5816589315
109	0.5812602183
110	0.5806919544
111	0.5801920569
112	0.5798126129
113	0.5794747232
114	0.579203421
115	0.5786023827
116	0.5782913886
117	0.5777303778
118	0.5772861509
119	0.5769929063
120	0.5766599429
121	0.5762214563
122	0.5757740392
123	0.5755205029
124	0.5751805776
125	0.5747153845
126	0.5745142587
127	0.5740916812
128	0.5736546277
129	0.5733745068
130	0.5730161964
131	0.5727968737
132	0.5724661259
133	0.5722018206
134	0.5718386785
135	0.5715156132
136	0.5710770637
137	0.5707951138
138	0.5705749406
139	0.5703048958
140	0.5700600942
141	0.5697608332
142	0.5695342752
143	0.5691603155
144	0.5688889897
145	0.5684542001
146	0.5680702067
147	0.5679306472
148	0.5676050184
149	0.5671712697
150	0.5668830356
151	0.5665543841
152	0.5663207409
153	0.5658625234
154	0.5656637969
155	0.5653563291
156	0.5651441655
157	0.5647257837
158	0.5643984707
159	0.5640767011
160	0.5637029288
161	0.5633542127
162	0.5630211822
163	0.5627420242
164	0.562551508
165	0.5622813348
166	0.5618867665
167	0.5617064774
168	0.5615177469
169	0.5612274867
170	0.5609943147
171	0.560761396
172	0.5603943262
173	0.5601584968
174	0.5598401619
175	0.5595019513
176	0.559167072
177	0.5585990026
178	0.5583749992
179	0.5579872849
180	0.5578306854
181	0.557584781
182	0.5574610635
183	0.5573596993
184	0.5570836557
185	0.5569639282
186	0.5567042528
187	0.5565206872
188	0.5562476208
189	0.5559660794
190	0.5557902338
191	0.5555026548
192	0.5551534294
193	0.5548482423
194	0.5546565195
195	0.5544659574
196	0.5542076181
197	0.5540709972
198	0.5538532673
199	0.5536987734
200	0.5531610944
201	0.552829526
202	0.5526645424
203	0.5524278803
204	0.5521292814
205	0.5519885299
206	0.5517097882
207	0.5514010811
208	0.5511109703
209	0.5507800317
210	0.5506061306
211	0.5503966395
212	0.5501755545
213	0.5498849991
214	0.5495670159
215	0.5494193365
216	0.5491466783
217	0.5490395317
218	0.5489206318
219	0.5487151285
220	0.548546363
221	0.5482333244
222	0.5481448752
223	0.5478890458
224	0.5477650696
225	0.5474642739
226	0.5473306557
227	0.5472201057
228	0.5470264793
229	0.5468176851
230	0.5465574864
231	0.5463297775
232	0.5461417094
233	0.5459066114
234	0.5455396846
235	0.5454871542
236	0.5453816947
237	0.545182574
238	0.5448087811
239	0.5445783152
240	0.5443874437
241	0.5441887261
242	0.5440042589
243	0.5438877716
244	0.5437480917
245	0.5436803472
246	0.5435613132
247	0.54339349
248	0.5432483502
249	0.5431242431
250	0.5429178699
251	0.5428858376
252	0.5426454441
253	0.542464437
254	0.5422500824
255	0.5420601682
256	0.5418392382
257	0.5417148654
258	0.5414502348
259	0.5411645353
260	0.5410994668
261	0.5410133202
262	0.5408517108
263	0.5406472582
